date_of_case,new_Cases_smoothed,new_vaccinations,positive_rate
2020-02-20,0,0,NULL
2020-02-21,1,0,NULL
2020-02-22,0,0,NULL
2020-02-23,0,0,NULL
2020-02-24,0,0,NULL
2020-02-25,0,0,NULL
2020-02-26,1,0,NULL
2020-02-27,1,0,NULL
2020-02-28,3,0,NULL
2020-02-29,0,0,0.005
2020-03-01,1,0,0.008
2020-03-02,5,0,0.006
2020-03-03,3,0,0.006
2020-03-04,0,0,0.011
2020-03-05,6,0,0.012
2020-03-06,16,0,0.011
2020-03-07,10,0,0.015
2020-03-08,9,0,0.023
2020-03-09,4,0,0.027
2020-03-10,28,0,0.028
2020-03-11,-28,0,0.023
2020-03-12,21,0,0.031
2020-03-13,31,0,0.017
2020-03-14,26,0,0.019
2020-03-15,39,0,0.021
2020-03-16,74,0,0.024
2020-03-17,44,0,0.027
2020-03-18,76,0,0.036
2020-03-19,15,0,0.032
2020-03-20,242,0,0.038
2020-03-21,215,0,0.032
2020-03-22,237,0,0.046
2020-03-23,169,0,0.055
2020-03-24,102,0,0.061
2020-03-25,1117,0,0.059
2020-03-26,520,0,0.053
2020-03-27,433,0,0.088
2020-03-28,480,0,0.092
2020-03-29,532,0,0.088
2020-03-30,546,0,0.087
2020-03-31,738,0,0.085
2020-04-01,696,0,0.086
2020-04-02,719,0,0.094
2020-04-03,597,0,0.08
2020-04-04,428,0,0.078
2020-04-05,583,0,0.074
2020-04-06,451,0,0.073
2020-04-07,377,0,0.071
2020-04-08,338,0,0.069
2020-04-09,343,0,0.064
2020-04-10,358,0,0.062
2020-04-11,345,0,0.06
2020-04-12,552,0,0.059
2020-04-13,438,0,0.056
2020-04-14,399,0,0.054
2020-04-15,311,0,0.051
2020-04-16,296,0,0.046
2020-04-17,298,0,0.043
2020-04-18,291,0,0.038
2020-04-19,276,0,0.035
2020-04-20,299,0,0.033
2020-04-21,282,0,0.029
2020-04-22,225,0,0.026
2020-04-23,276,0,0.024
2020-04-24,248,0,0.022
2020-04-25,159,0,0.022
2020-04-26,83,0,0.021
2020-04-27,128,0,0.02
2020-04-28,159,0,0.018
2020-04-29,82,0,0.017
2020-04-30,142,0,0.016
2020-05-01,116,0,0.015
2020-05-02,57,0,0.014
2020-05-03,27,0,0.012
2020-05-04,53,0,0.012
2020-05-05,32,0,0.011
2020-05-06,65,0,0.01
2020-05-07,61,0,0.008
2020-05-08,33,0,0.008
2020-05-09,19,0,0.007
2020-05-10,29,0,0.006
2020-05-11,39,0,0.005
2020-05-12,23,0,0.005
2020-05-13,39,0,0.005
2020-05-14,22,0,0.005
2020-05-15,12,0,0.005
2020-05-16,5,0,0.004
2020-05-17,15,0,0.004
2020-05-18,27,0,0.004
2020-05-19,22,0,0.003
2020-05-20,15,0,0.003
2020-05-21,17,0,0.003
2020-05-22,19,0,0.003
2020-05-23,5,0,0.003
2020-05-24,13,0,0.003
2020-05-25,22,0,0.003
2020-05-26,50,0,0.003
2020-05-27,40,0,0.003
2020-05-28,77,0,0.004
2020-05-29,113,0,0.005
2020-05-30,29,0,0.007
2020-05-31,87,0,0.01
2020-06-01,100,0,0.011
2020-06-02,121,0,0.013
2020-06-03,97,0,0.014
2020-06-04,142,0,0.014
2020-06-05,127,0,0.013
2020-06-06,78,0,0.012
2020-06-07,140,0,0.01
2020-06-08,179,0,0.009
2020-06-09,173,0,0.009
2020-06-10,240,0,0.009
2020-06-11,191,0,0.009
2020-06-12,184,0,0.01
2020-06-13,149,0,0.011
2020-06-14,136,0,0.011
2020-06-15,198,0,0.013
2020-06-16,300,0,0.013
2020-06-17,271,0,0.014
2020-06-18,302,0,0.015
2020-06-19,310,0,0.016
2020-06-20,159,0,0.017
2020-06-21,173,0,0.018
2020-06-22,345,0,0.018
2020-06-23,451,0,0.019
2020-06-24,487,0,0.02
2020-06-25,516,0,0.021
2020-06-26,464,0,0.023
2020-06-27,398,0,0.025
2020-06-28,385,0,0.025
2020-06-29,757,0,0.026
2020-06-30,786,0,0.028
2020-07-01,972,0,0.03
2020-07-02,1146,0,0.033
2020-07-03,939,0,0.036
2020-07-04,821,0,0.039
2020-07-05,831,0,0.041
2020-07-06,1134,0,0.042
2020-07-07,1390,0,0.042
2020-07-08,1327,0,0.044
2020-07-09,1525,0,0.045
2020-07-10,1409,0,0.045
2020-07-11,1168,0,0.046
2020-07-12,1238,0,0.047
2020-07-13,1720,0,0.049
2020-07-14,1604,0,0.051
2020-07-15,1877,0,0.053
2020-07-16,1939,0,0.053
2020-07-17,1605,0,0.056
2020-07-18,1448,0,0.057
2020-07-19,1016,0,0.058
2020-07-20,1887,0,0.06
2020-07-21,2006,0,0.059
2020-07-22,2044,0,0.061
2020-07-23,1990,0,0.063
2020-07-24,1830,0,0.065
2020-07-25,1112,0,0.065
2020-07-26,1042,0,0.066
2020-07-27,2048,0,0.066
2020-07-28,2125,0,0.07
2020-07-29,1954,0,0.07
2020-07-30,1787,0,0.072
2020-07-31,1362,0,0.073
2020-08-01,625,0,0.077
2020-08-02,708,0,0.074
2020-08-03,1800,0,0.075
2020-08-04,1729,0,0.074
2020-08-05,1690,0,0.075
2020-08-06,1677,0,0.072
2020-08-07,1764,0,0.07
2020-08-08,754,0,0.066
2020-08-09,924,0,0.068
2020-08-10,1704,0,0.068
2020-08-11,1823,0,0.069
2020-08-12,1622,0,0.068
2020-08-13,1643,0,0.068
2020-08-14,1388,0,0.067
2020-08-15,757,0,0.067
2020-08-16,1068,0,0.066
2020-08-17,1650,0,0.066
2020-08-18,1649,0,0.067
2020-08-19,1640,0,0.066
2020-08-20,1487,0,0.064
2020-08-21,1493,0,0.064
2020-08-22,711,0,0.063
2020-08-23,965,0,0.061
2020-08-24,1900,0,0.06
2020-08-25,1956,0,0.059
2020-08-26,1953,0,0.059
2020-08-27,2071,0,0.059
2020-08-28,1832,0,0.058
2020-08-29,910,0,0.059
2020-08-30,1101,0,0.062
2020-08-31,2178,0,0.064
2020-09-01,2252,0,0.064
2020-09-02,3193,0,0.065
2020-09-03,2661,0,0.069
2020-09-04,2623,0,0.075
2020-09-05,1505,0,0.079
2020-09-06,2177,0,0.08
2020-09-07,3388,0,0.081
2020-09-08,3489,0,0.083
2020-09-09,3996,0,0.085
2020-09-10,4161,0,0.084
2020-09-11,3975,0,0.084
2020-09-12,2719,0,0.086
2020-09-13,3175,0,0.087
2020-09-14,4805,0,0.087
2020-09-15,5539,0,0.085
2020-09-16,4574,0,0.088
2020-09-17,5385,0,0.091
2020-09-18,5340,0,0.091
2020-09-19,3809,0,0.092
2020-09-20,2579,0,0.093
2020-09-21,3866,0,0.093
2020-09-22,7021,0,0.094
2020-09-23,7125,0,0.095
2020-09-24,8234,0,0.098
2020-09-25,8390,0,0.104
2020-09-26,5882,0,0.11
2020-09-27,3414,0,0.116
2020-09-28,1159,0,0.12
2020-09-29,4991,0,0.122
2020-09-30,9078,0,0.124
2020-10-01,7731,0,0.129
2020-10-02,7058,0,0.13
2020-10-03,2593,0,0.13
2020-10-04,2937,0,0.126
2020-10-05,5721,0,0.124
2020-10-06,4724,0,0.121
2020-10-07,4165,0,0.119
2020-10-08,3755,0,0.114
2020-10-09,2963,0,0.106
2020-10-10,916,0,0.099
2020-10-11,1646,0,0.093
2020-10-12,3169,0,0.091
2020-10-13,2336,0,0.088
2020-10-14,2117,0,0.08
2020-10-15,1612,0,0.071
2020-10-16,1500,0,0.066
2020-10-17,411,0,0.06
2020-10-18,922,0,0.055
2020-10-19,1517,0,0.052
2020-10-20,1193,0,0.049
2020-10-21,1172,0,0.043
2020-10-22,1032,0,0.039
2020-10-23,849,0,0.034
2020-10-24,246,0,0.032
2020-10-25,607,0,0.03
2020-10-26,884,0,0.03
2020-10-27,887,0,0.03
2020-10-28,723,0,0.027
2020-10-29,644,0,0.026
2020-10-30,680,0,0.025
2020-10-31,228,0,0.023
2020-11-01,658,0,0.022
2020-11-02,788,0,0.021
2020-11-03,846,0,0.022
2020-11-04,769,0,0.022
2020-11-05,570,0,0.021
2020-11-06,691,0,0.021
2020-11-07,212,0,0.021
2020-11-08,534,0,0.021
2020-11-09,719,0,0.021
